ori,year,homicides,city
TNMPD0000,2016,202.0,Memphis
TNMPD0000,2017,186.0,Memphis
TNMPD0000,2018,188.0,Memphis
TNMPD0000,2019,196.0,Memphis
TNMPD0000,2020,292.0,Memphis
TNMPD0000,2021,307.0,Memphis
TNMPD0000,2022,253.0,Memphis
TNMPD0000,2023,351.0,Memphis
TNMPD0000,2024,251.0,Memphis
TNMPD0000,2025,189.0,Memphis
MDBPD0000,2007,282.0,Baltimore
MDBPD0000,2008,235.0,Baltimore
MDBPD0000,2009,238.0,Baltimore
MDBPD0000,2010,223.0,Baltimore
MDBPD0000,2011,197.0,Baltimore
MDBPD0000,2012,221.0,Baltimore
MDBPD0000,2013,232.0,Baltimore
MDBPD0000,2014,190.0,Baltimore
MDBPD0000,2015,279.0,Baltimore
MDBPD0000,2016,299.0,Baltimore
MDBPD0000,2017,309.0,Baltimore
MDBPD0000,2018,294.0,Baltimore
MDBPD0000,2019,350.0,Baltimore
MDBPD0000,2020,334.0,Baltimore
MDBPD0000,2021,174.0,Baltimore
MDBPD0000,2022,326.0,Baltimore
MDBPD0000,2023,246.0,Baltimore
MDBPD0000,2024,193.0,Baltimore
MDBPD0000,2025,133.0,Baltimore
MI8234900,2007,392.0,Detroit
MI8234900,2008,323.0,Detroit
MI8234900,2009,363.0,Detroit
MI8234900,2010,311.0,Detroit
MI8234900,2011,346.0,Detroit
MI8234900,2012,387.0,Detroit
MI8234900,2013,317.0,Detroit
MI8234900,2014,299.0,Detroit
MI8234900,2015,287.0,Detroit
MI8234900,2016,304.0,Detroit
MI8234900,2017,268.0,Detroit
MI8234900,2018,261.0,Detroit
MI8234900,2019,281.0,Detroit
MI8234900,2020,321.0,Detroit
MI8234900,2021,306.0,Detroit
MI8234900,2022,307.0,Detroit
MI8234900,2023,250.0,Detroit
MI8234900,2024,203.0,Detroit
MI8234900,2025,165.0,Detroit
PAPEP0000,2007,392.0,Philadelphia
PAPEP0000,2008,331.0,Philadelphia
PAPEP0000,2009,302.0,Philadelphia
PAPEP0000,2010,307.0,Philadelphia
PAPEP0000,2011,324.0,Philadelphia
PAPEP0000,2012,331.0,Philadelphia
PAPEP0000,2013,247.0,Philadelphia
PAPEP0000,2014,253.0,Philadelphia
PAPEP0000,2015,280.0,Philadelphia
PAPEP0000,2016,274.0,Philadelphia
PAPEP0000,2017,316.0,Philadelphia
PAPEP0000,2018,351.0,Philadelphia
PAPEP0000,2019,330.0,Philadelphia
PAPEP0000,2020,489.0,Philadelphia
PAPEP0000,2021,573.0,Philadelphia
PAPEP0000,2022,520.0,Philadelphia
PAPEP0000,2023,411.0,Philadelphia
PAPEP0000,2024,268.0,Philadelphia
PAPEP0000,2025,222.0,Philadelphia
TXHPD0000,2007,352.0,Houston
TXHPD0000,2008,294.0,Houston
TXHPD0000,2009,287.0,Houston
TXHPD0000,2010,271.0,Houston
TXHPD0000,2011,198.0,Houston
TXHPD0000,2012,217.0,Houston
TXHPD0000,2013,216.0,Houston
TXHPD0000,2014,242.0,Houston
TXHPD0000,2015,303.0,Houston
TXHPD0000,2016,303.0,Houston
TXHPD0000,2017,261.0,Houston
TXHPD0000,2018,281.0,Houston
TXHPD0000,2019,281.0,Houston
TXHPD0000,2020,415.0,Houston
TXHPD0000,2021,475.0,Houston
TXHPD0000,2022,437.0,Houston
TXHPD0000,2023,353.0,Houston
TXHPD0000,2024,331.0,Houston
TXHPD0000,2025,272.0,Houston
TXDPD0000,2007,200.0,Dallas
TXDPD0000,2008,170.0,Dallas
TXDPD0000,2009,166.0,Dallas
TXDPD0000,2010,148.0,Dallas
TXDPD0000,2011,133.0,Dallas
TXDPD0000,2012,154.0,Dallas
TXDPD0000,2013,144.0,Dallas
TXDPD0000,2014,116.0,Dallas
TXDPD0000,2015,136.0,Dallas
TXDPD0000,2016,171.0,Dallas
TXDPD0000,2017,163.0,Dallas
TXDPD0000,2018,153.0,Dallas
TXDPD0000,2019,201.0,Dallas
TXDPD0000,2020,249.0,Dallas
TXDPD0000,2021,211.0,Dallas
TXDPD0000,2022,212.0,Dallas
TXDPD0000,2023,244.0,Dallas
TXDPD0000,2024,181.0,Dallas
TXDPD0000,2025,139.0,Dallas
CODPD0000,2007,47.0,Denver
CODPD0000,2008,40.0,Denver
CODPD0000,2009,35.0,Denver
CODPD0000,2010,28.0,Denver
CODPD0000,2011,37.0,Denver
CODPD0000,2012,39.0,Denver
CODPD0000,2013,41.0,Denver
CODPD0000,2014,31.0,Denver
CODPD0000,2015,53.0,Denver
CODPD0000,2016,53.0,Denver
CODPD0000,2017,58.0,Denver
CODPD0000,2018,64.0,Denver
CODPD0000,2019,66.0,Denver
CODPD0000,2020,95.0,Denver
CODPD0000,2021,100.0,Denver
CODPD0000,2022,90.0,Denver
CODPD0000,2023,87.0,Denver
CODPD0000,2024,71.0,Denver
CODPD0000,2025,42.0,Denver
