ori9,agency_name,year,clearance_rate,treated,cate,rtcc_city,population
IA0770300,des moines,1962,0.0,0,2.3381711034735035,,211049
NY0330000,onondaga,1962,0.0,0,-0.07835470856708415,,189918
NC0600100,charlotte,1962,0.0,0,-0.6081993698086819,,214786
MI2512500,genesee,1962,0.0,0,-13.575552816292543,,163769
KS1050200,kansas city,1962,0.0,0,0.3034748168453993,,124431
OH0500900,youngstown,1962,0.0,0,-0.6556242315619154,,164173
OH0310000,hamilton,1962,0.0,0,0.6821602784381364,,200015
TX1010000,harris,1962,0.0,0,0.46815252154607306,,149037
NY0590700,yonkers,1962,0.0,0,-7.511237442091151,,200335
OH0500000,mahoning,1962,0.0,0,-14.919800482338122,,103307
AL0010000,jefferson,1962,0.0,0,-0.2086263483353175,,174367
CA0270000,monterey,1962,0.0,0,-0.03946480338713185,,101037
SC0420000,spartanburg,1962,0.0,0,0.23681913567835974,,110177
IN0020100,fort wayne,1962,0.0,0,6.054004290945005,,160082
CA0560000,ventura,1962,0.0,0,0.2292730719858024,,126923
CA0370000,san diego,1962,0.0,0,-1.2357044698551283,,297109
CA0010300,berkeley,1962,0.0,0,0.178467150769382,,110727
KY0560100,jefferson,1962,0.0,0,0.8143926206722167,,206184
GA0250300,savannah,1962,0.0,0,-0.24187462039463614,,149052
CA0100000,fresno,1962,0.0,0,1.1290692384177468,,191679
GA0440200,de kalb,1962,0.0,0,1.0155975277942397,,199308
NY0330100,syracuse,1962,0.0,0,1.7372104069322027,,216263
MI4143600,grand rapids,1962,0.0,0,0.783577776472201,,201168
MN0690600,duluth,1962,0.0,0,-0.08677866648993487,,106786
MI1111100,berrien,1962,0.0,0,-1.1154465292996645,,103669
CT0015100,waterbury,1962,0.0,0,0.2673193138514794,,110570
MA0146000,worcester,1962,0.0,0,2.857673956277851,,181637
CA0070000,contra costa,1962,0.0,0,4.924229243449648,,161385
CT0001500,bridgeport,1962,0.0,0,0.7288165542123761,,155014
MA0071800,springfield,1962,0.0,0,-0.203322683034467,,174487
NJ0111100,trenton,1962,0.0,0,0.33536383383517493,,114048
FL0170000,escambia,1962,0.0,0,0.3501894488625543,,130655
CT0009300,new haven,1962,0.0,0,0.397410927418701,,149225
AL0020100,mobile,1962,0.0,0,-0.4082651598930454,,212437
CA0190200,arcadia,1962,0.0,0,-0.8044750812515509,Fresno,44494
PA0350400,scranton,1962,0.0,0,0.15682955307105495,,107072
CA0540000,tulare,1962,0.0,0,0.38929491517984377,,115630
LA0170200,baton rouge,1962,0.0,0,0.022537457109603,,154950
FL0160000,duval,1962,0.0,0,-0.9689704028089536,,269168
CA0192500,glendale,1962,0.0,0,0.3832334429287717,,124541
SC0100200,charleston,1962,0.0,0,0.31920816840813465,,141833
NJ0160800,paterson,1962,0.0,0,0.3489964817103607,,144002
GA0110100,macon,1962,0.0,0,0.0960478506366935,,124898
TX1780200,corpus christi,1962,0.0,0,1.0180299424456698,,176436
DE0020300,new castle,1962,0.0,0,-0.6114097718539564,,214531
NJ0200400,elizabeth,1962,0.0,0,-0.004084826529032314,,107120
AL0030100,montgomery,1962,0.0,0,0.3397252543042605,,142664
GA1060100,columbus,1962,0.0,0,0.3922685953483234,,124295
FL0160200,jacksonville,1962,0.0,0,-0.20378321596958307,,210878
TX1880100,amarillo,1962,0.0,0,0.3551654432663627,,149380
