BH001	BH002	FIPS_STATE	BH003	BH004	BH005	BH006	BH007	BH008	BH009	BH010	BH011	BH012	BH013	BH014	BH015	BH016	BH017	BH018	BH019	BH020	BH021	BH022	BH023	BH024	BH025	BH026	BH027	BH028	BH029	BH030	BH031	BH032	BH033	BH034	BH035	BH036	BH037	BH038	BH039	BH040	BH041	BH042	BH043	BH044	BH045	BH046	BH047	BH048	BH049	BH050	BH051	BH052	BH053	BH054	BH055	BH056	BH057	BH058	BH059	BH060
BH	21	26	MI3633800	     .00	 	01-JAN-1995	CRYSTAL FALLS	MI	70	3	2	1	0	 	3220	205W	1	 	1596	36	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	71	 	 	 	 	 	1
BH	21	26	MI3641400	     .00	 	 	GAASTRA	MI	70	3	2	1	0	MI3629500	3220	205W	 	01-DEC-2023	312	36	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	71	 	 	 	 	 	1
BH	21	26	MI3649300	     .00	 	01-JAN-1995	IRON RIVER	MI	60	3	2	1	0	 	3220	205W	1	 	3002	36	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	71	 	 	 	 	 	1
BH	21	26	MI3675900	     .00	 	 	STAMBAUGH	MI	70	3	2	1	0	MI3613600	3220	205W	 	01-DEC-2023	1196	36	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	71	 	 	 	 	 	1
BH	21	26	MI3703700	     .00	 	01-JAN-1998	MOUNT PLEASANT	MI	84	3	2	4	0	 	3220	200E	1	 	0	37	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	73	 	 	 	 	 	1
BH	21	26	MI3713700	     .00	 	01-DEC-1994	MOUNT PLEASANT	MI	82	3	2	2	0	 	3220	200E	1	 	42164	37	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	73	 	 	 	 	 	1
BH	21	26	MI3759900	     .00	 	01-JAN-1995	MOUNT PLEASANT	MI	50	3	2	1	0	 	3220	200E	1	 	20784	37	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	73	 	 	 	 	 	1
BH	21	26	MI3774100	     .00	 	01-JAN-1999	SHEPHERD	MI	70	3	2	1	0	 	3220	200E	1	 	1517	37	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	73	 	 	 	 	 	1
BH	21	26	MI3787000	     .00	 	01-JAN-1995	MT PLEASANT	MI	70	3	2	3	0	 	3220	200E	1	 	0	37	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	6	8	2023	 	 	 	 	 	 	 	 	 	 	 	 	73	 	 	 	 	 	1
BH	21	26	MI3803800	     .00	 	01-JAN-1998	JACKSON	MI	94	3	2	4	0	 	3220	200E	1	 	0	38	377	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	75	 	 	 	 	 	1
